section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572131303480,-1.097561,0.060976,-2.682927,-0.041504,-0.902466,0.163147,9.367147996139266,10.162711689178337
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572136331480,-1.036585,-0.121951,-2.5,-0.036682,-0.901611,0.164429,9.2256590121265,10.454192415932653
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572141359480,-1.036585,-0.182927,-2.378049,-0.039917,-0.906494,0.165527,9.588923588512444,10.29295625678455
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572146387480,-1.036585,-0.304878,-2.439024,-0.039307,-0.90802,0.162109,9.34627520291346,10.023698929325747
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572151415480,-1.158537,-0.487805,-2.317073,-0.037109,-0.90741,0.159973,9.009078298016902,9.811132176236072
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572156443480,-1.158537,-0.365854,-2.682927,-0.040894,-0.906616,0.159607,9.392440606596239,9.933986545590386
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572161471480,-1.280488,-0.426829,-2.621951,-0.041748,-0.903137,0.161682,9.630492580948783,10.182395659592316
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572166499480,-1.341463,-0.304878,-2.5,-0.03833,-0.906799,0.160706,9.26922112174978,9.988569984399078
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572171527480,-1.280488,-0.365854,-2.621951,-0.041016,-0.908264,0.159668,9.689282616260726,9.953748304381406
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572176555480,-1.158537,-0.365854,-2.804878,-0.039001,-0.908325,0.156616,9.35068812813455,9.739856568585196
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572181583480,-1.036585,-0.426829,-2.865854,-0.036438,-0.91156,0.157532,9.022005135376588,9.949141690351468
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572186611480,-0.914634,-0.304878,-2.865854,-0.037537,-0.907654,0.156982,9.37750414881998,9.782213072699733
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572191639480,-1.097561,-0.182927,-2.865854,-0.039185,-0.907227,0.154846,9.540379778190271,9.494385111100797
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572196667480,-1.158537,-0.121951,-2.804878,-0.039612,-0.908875,0.157471,9.452013160330921,9.794384777689686
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572201695480,-0.97561,-0.243902,-2.682927,-0.040344,-0.911926,0.156494,9.650637467817774,9.519804091040555
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572206723480,-0.792683,-0.304878,-2.682927,-0.037354,-0.909607,0.162659,9.480345733136545,9.804700851507391
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572211751480,-0.792683,-0.243902,-2.682927,-0.041321,-0.908752,0.160767,9.577099992327021,10.10195265686417
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572216779480,-0.792683,-0.365854,-2.865854,-0.039917,-0.909546,0.161743,9.140075948926722,10.021876833659519
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572221807480,-0.548781,-0.670732,-2.865854,-0.037964,-0.906921,0.16217,9.475922679099284,10.204865350735162
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572226835480,-0.97561,-0.670732,-3.04878,-0.036255,-0.906555,0.164124,9.05081659415032,10.304657127265102
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572231863480,-1.036585,-0.670732,-3.231707,-0.037231,-0.906067,0.163757,9.44856110363392,10.205651640035569
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572236891480,-0.97561,-0.792683,-3.109756,-0.041016,-0.905334,0.1604,9.618676050768556,9.92127867513102
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572241919480,-1.158537,-0.97561,-3.109756,-0.038879,-0.901855,0.159668,9.276799304710664,10.120922613011658
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572246947480,-1.280488,-0.914634,-2.987805,-0.037292,-0.900513,0.161926,9.474882855990643,10.386604246702376
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572251975480,-1.52439,-1.036585,-3.109756,-0.037964,-0.901245,0.16217,9.301383669019458,10.089286116069104
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572257003480,-1.707317,-1.097561,-3.109756,-0.039673,-0.903503,0.156738,9.481198384566795,9.804700021649069
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572262031480,-1.646341,-1.219512,-3.109756,-0.040771,-0.905273,0.156372,9.897498120773434,9.764507969107797
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572267059480,-1.707317,-1.158537,-2.926829,-0.037354,-0.906189,0.157349,9.456487821405403,9.820063890700794
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572272087480,-1.768293,-1.280488,-2.987805,-0.037048,-0.90741,0.15625,9.044497781659487,9.681568746544997
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572277115480,-1.646341,-1.341463,-3.04878,-0.0354,-0.909363,0.155151,9.463683149619527,9.675574361644124
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572282143480,-1.585366,-1.097561,-2.926829,-0.036133,-0.908691,0.153931,9.04238160982959,9.554371787507193
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572287171480,-1.280488,-1.036585,-2.865854,-0.037659,-0.909424,0.154724,9.420561586980739,9.682750495861114
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572292199480,-1.158537,-0.97561,-2.926829,-0.033081,-0.906067,0.152527,9.014803159848952,9.538524588501815
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572297227480,-1.097561,-0.97561,-2.987805,-0.034973,-0.903076,0.152893,9.377282883565329,9.688596698195795
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572302255480,-1.158537,-0.914634,-2.987805,-0.035583,-0.904358,0.152832,9.032941988419196,9.478826263669504
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572307283480,-1.158537,-0.853659,-2.682927,-0.038391,-0.909363,0.153625,9.418168654261564,9.598326801779223
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572312311480,-1.097561,-0.792683,-2.804878,-0.03363,-0.91156,0.153259,8.978773449427763,9.523628487198437
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572317339480,-1.097561,-0.792683,-3.170732,-0.03656,-0.911377,0.153931,9.378990587355872,9.609950306961053
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572322367480,-0.914634,-0.609756,-3.231707,-0.03595,-0.908936,0.15509,9.006321465639132,9.78326930772397
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572327395480,-0.670732,-0.731707,-3.414634,-0.040222,-0.907715,0.156982,9.422930683598139,9.805022736042076
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572332423480,-0.731707,-0.853659,-3.658537,-0.04071,-0.911133,0.161499,9.521160704884693,10.101331629329309
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572337451480,-0.609756,-0.97561,-3.963415,-0.038452,-0.909485,0.164429,9.257277140857639,10.355472762457623
