section id,recording id,timestamp [ns],p1 x [px],p1 y [px],p2 x [px],p2 y [px],eye left x [px],eye left y [px],eye right x [px],eye right y [px],nose x [px],nose y [px],mouth left x [px],mouth left y [px],mouth right x [px],mouth right y [px]
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491291141146,703.0,236.0,804.0,347.0,746.455,282.491,785.261,295.635,762.142,316.918,732.364,320.874,759.17,331.838
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491291141146,258.0,193.0,355.0,322.0,299.854,248.909,341.527,248.543,328.943,276.043,298.397,292.373,332.979,292.89
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491319752257,695.0,238.0,799.0,347.0,737.864,282.559,777.971,298.012,751.882,316.699,723.412,320.867,751.294,333.208
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491319752257,252.0,199.0,350.0,326.0,298.191,252.82,337.828,253.362,326.807,280.997,293.787,295.41,327.0,296.784
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491346452257,691.0,238.0,792.0,349.0,731.846,282.846,771.796,296.903,747.063,316.623,718.67,320.817,748.001,332.197
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491346452257,250.0,205.0,346.0,331.0,292.363,260.677,333.492,258.906,321.935,288.08,290.62,301.638,325.77,301.108
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491385141146,686.0,240.0,785.0,350.0,726.184,285.328,765.276,298.152,741.854,318.891,714.018,323.747,741.852,334.335
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491385141146,245.0,212.0,341.0,340.0,288.676,267.45,329.541,265.692,318.457,293.228,289.059,310.197,322.999,309.559
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491423430035,682.0,239.0,782.0,349.0,720.475,283.592,762.26,296.738,737.455,316.338,709.99,321.528,740.613,332.222
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491423430035,245.0,217.0,340.0,345.0,287.615,273.586,328.933,271.741,316.962,299.459,287.33,316.125,321.748,315.445
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491452607813,682.0,237.0,781.0,348.0,718.788,281.983,760.688,294.481,735.908,314.796,709.459,320.466,739.907,330.619
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491452607813,247.0,220.0,341.0,347.0,289.63,276.332,329.755,273.267,318.851,302.191,289.753,318.087,323.677,316.469
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491484596702,681.0,238.0,780.0,346.0,718.072,280.028,759.92,292.122,734.447,311.232,708.533,318.005,740.564,327.666
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491484596702,249.0,224.0,342.0,348.0,289.268,280.623,329.757,275.967,319.141,304.423,291.558,319.91,326.205,317.024
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491514696702,682.0,236.0,781.0,344.0,718.097,277.076,760.548,288.312,735.197,308.29,709.57,315.601,742.353,324.648
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491514696702,254.0,227.0,346.0,349.0,292.57,284.828,331.536,277.809,322.63,307.566,295.638,321.688,330.509,316.867
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491553218924,684.0,235.0,781.0,341.0,717.781,274.585,760.129,285.255,734.883,304.909,709.659,312.583,743.122,321.208
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491553218924,259.0,229.0,350.0,351.0,296.448,287.991,335.415,280.571,326.717,309.102,302.233,325.485,335.078,320.227
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491591274480,261.0,241.0,350.0,364.0,299.756,297.418,336.596,290.35,329.466,318.897,303.349,335.978,335.246,331.322
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491591274480,685.0,237.0,780.0,346.0,717.783,280.027,760.229,290.462,735.696,311.671,711.463,318.662,744.005,327.148
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491624041146,265.0,248.0,355.0,372.0,302.131,310.119,339.461,298.423,333.681,328.677,311.954,347.153,344.233,338.598
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491624041146,688.0,244.0,782.0,353.0,718.965,287.009,761.062,297.664,736.166,319.448,712.734,325.443,745.105,334.039
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491654441146,693.0,248.0,787.0,352.0,724.827,289.723,766.362,297.575,743.893,319.248,721.138,326.886,752.944,333.216
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491654441146,273.0,255.0,361.0,375.0,308.493,312.502,346.536,301.261,339.258,330.971,318.673,348.812,351.511,340.382
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491689818924,700.0,249.0,793.0,355.0,731.308,289.915,773.347,297.588,750.115,319.553,727.017,328.228,759.702,334.455
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491689818924,282.0,260.0,370.0,378.0,318.844,315.461,355.939,305.312,349.491,334.644,327.165,353.205,358.225,345.808
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491722763368,289.0,265.0,377.0,382.0,325.956,319.165,363.04,309.122,356.161,338.052,333.602,355.955,365.788,348.68
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491722763368,706.0,249.0,798.0,354.0,734.838,289.627,777.136,297.403,752.96,318.627,730.348,327.472,763.537,333.749
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491753196702,294.0,267.0,382.0,385.0,331.146,322.516,368.137,312.54,361.275,341.229,338.977,359.024,371.44,351.8
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491753196702,708.0,252.0,802.0,353.0,737.855,290.323,780.291,297.559,755.968,318.437,733.738,327.229,767.208,333.031
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491790452257,713.0,255.0,803.0,356.0,741.987,295.248,783.804,300.315,762.543,321.955,742.015,331.504,774.845,335.629
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491790452257,304.0,271.0,390.0,392.0,340.243,329.657,376.43,320.811,370.637,347.932,348.731,366.436,379.876,360.167
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491824818924,723.0,260.0,813.0,363.0,751.752,301.023,792.431,307.688,769.879,328.727,748.337,336.811,780.966,342.223
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491824818924,314.0,283.0,399.0,401.0,348.333,337.367,384.969,326.798,378.335,355.204,357.838,374.422,389.454,366.599
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491865341146,325.0,287.0,411.0,402.0,360.809,340.505,396.69,331.228,391.031,358.152,369.395,377.21,399.936,370.561
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491865341146,732.0,262.0,822.0,365.0,762.162,304.12,802.187,309.859,781.034,331.966,760.036,339.296,791.83,344.007
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491885474480,741.0,261.0,829.0,363.0,769.754,302.812,809.662,307.288,789.314,329.393,768.974,337.904,800.892,341.716
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491885474480,334.0,287.0,419.0,402.0,370.001,339.41,406.216,329.727,399.894,357.22,378.222,376.478,409.197,369.465
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491922641146,750.0,256.0,840.0,357.0,777.977,296.457,819.951,300.781,798.005,322.564,777.488,333.782,810.104,337.247
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491922641146,345.0,279.0,430.0,393.0,377.481,332.57,414.268,321.954,407.529,349.034,388.554,369.001,419.437,360.912
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491956252257,354.0,269.0,439.0,384.0,389.227,320.317,425.968,311.607,419.02,337.719,398.452,357.272,430.004,350.882
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491956252257,762.0,246.0,849.0,347.0,789.558,286.993,828.792,291.776,808.573,313.403,788.986,321.482,820.901,325.475
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491990130035,775.0,234.0,864.0,331.0,803.381,272.269,843.898,276.353,822.651,296.989,802.202,306.957,834.976,310.241
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295491990130035,369.0,248.0,452.0,361.0,403.043,299.713,438.132,291.508,432.132,316.089,411.572,335.597,441.622,329.715
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492023163368,376.0,229.0,461.0,343.0,411.873,281.276,447.841,272.898,441.2,298.292,419.545,316.747,451.339,310.723
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492023163368,786.0,210.0,872.0,314.0,813.822,252.774,853.813,257.859,832.689,280.204,812.104,289.396,844.323,293.508
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492054418924,787.0,200.0,876.0,302.0,815.501,240.461,853.775,246.21,832.363,267.379,813.347,276.871,842.405,281.519
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492054418924,378.0,217.0,462.0,330.0,413.087,269.064,449.568,262.083,441.534,286.358,420.76,304.501,451.612,299.444
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492090196702,779.0,192.0,868.0,292.0,807.901,233.274,848.425,236.919,828.617,259.245,809.554,269.585,840.468,272.695
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492090196702,372.0,209.0,456.0,321.0,407.734,259.766,443.386,252.331,436.773,276.559,415.481,295.75,445.685,290.444
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492123952257,769.0,181.0,859.0,282.0,798.49,222.611,837.971,228.541,816.092,249.942,796.034,258.52,826.26,263.224
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492123952257,360.0,196.0,443.0,308.0,393.853,247.103,430.026,240.073,421.815,264.453,401.364,282.271,432.239,277.193
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492153063368,753.0,171.0,845.0,269.0,782.481,210.98,824.939,215.273,803.888,237.232,783.957,246.641,816.349,250.141
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492153063368,347.0,182.0,432.0,294.0,383.69,231.909,419.129,227.177,411.499,249.621,389.097,268.521,418.179,265.414
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492193263368,745.0,154.0,836.0,255.0,774.699,193.431,814.27,200.981,791.612,221.609,770.508,229.514,801.261,235.626
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492193263368,334.0,165.0,419.0,277.0,372.591,215.592,408.012,210.187,400.988,233.727,377.361,251.426,407.803,247.883
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295492224374480,733.0,151.0,824.0,249.0,762.824,190.925,804.523,196.381,783.263,218.026,762.632,226.504,794.12,230.933
